perturbation,p,n,score_stability_delta_p,accuracy,macro_f1
argument_removal,0.0,82,0.0,0.7804878048780488,0.771799628942486
argument_removal,0.1,82,0.0,0.7804878048780488,0.771799628942486
argument_removal,0.2,82,0.03262356297251335,0.7804878048780488,0.771799628942486
argument_removal,0.3,82,0.03358828324690359,0.8414634146341463,0.8373760488176965
argument_removal,0.5,82,0.088924382713367,0.7560975609756098,0.74375
relation_flip,0.0,82,0.0,0.7804878048780488,0.771799628942486
relation_flip,0.1,82,0.06538882804492188,0.7439024390243902,0.7293729372937294
relation_flip,0.2,82,0.28385222187452364,0.6463414634146342,0.6033361134278565
relation_flip,0.3,82,0.31826612722556213,0.6219512195121951,0.5832103623544844
relation_flip,0.5,82,0.35546544153577553,0.5,0.4487620921462535
tau_noise,0.0,82,0.0,0.7804878048780488,0.771799628942486
tau_noise,0.1,82,0.0022331684353887396,0.7804878048780488,0.771799628942486
tau_noise,0.2,82,0.002474850932371718,0.7926829268292683,0.7833721833721834
tau_noise,0.3,82,0.0032293314268638015,0.7804878048780488,0.771799628942486
tau_noise,0.5,82,0.006791169989884479,0.7682926829268293,0.7578865578865579
