perturbation,p,n,score_stability_delta_p,accuracy,macro_f1
argument_removal,0.0,94,0.0,0.8085106382978723,0.8053382420616659
argument_removal,0.1,94,0.0,0.8085106382978723,0.8053382420616659
argument_removal,0.2,94,0.06667410328853059,0.7872340425531915,0.7868480725623582
argument_removal,0.3,94,0.061070839691456116,0.7872340425531915,0.7856817145462837
argument_removal,0.5,94,0.16048482812230713,0.7340425531914894,0.732559462842836
relation_flip,0.0,94,0.0,0.8085106382978723,0.8053382420616659
relation_flip,0.1,94,0.016909506753989407,0.776595744680851,0.7707583323655789
relation_flip,0.2,94,0.23526149339197638,0.648936170212766,0.6173677069199457
relation_flip,0.3,94,0.2971130159053679,0.574468085106383,0.5262096774193549
relation_flip,0.5,94,0.35552174434154876,0.4574468085106383,0.3579750903977501
tau_noise,0.0,94,0.0,0.8085106382978723,0.8053382420616659
tau_noise,0.1,94,0.0005474252805935575,0.8085106382978723,0.8053382420616659
tau_noise,0.2,94,0.006703966125842116,0.8085106382978723,0.8063186813186813
tau_noise,0.3,94,0.0041111380584520785,0.8085106382978723,0.8053382420616659
tau_noise,0.5,94,0.007497006470994123,0.8085106382978723,0.8053382420616659
